Alce,Alces alces,Alces,CervÃ­deos,Artiodactyla,Mammalia,Chordata,Animalia
Baleia-azul,Balaenoptera musculus,Balaenoptera,Balaenopteridae,Cetacea,Mammalia,Chordata,Animalia
Baleia-jubarte,Megaptera novaeangliae,Megaptera,Balaenopteridae,Cetacea,Mammalia,Chordata,Animalia
Bisão-americano,Bison bison,Bison,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia
Bisão-europeu,Bison bonasus,Bison,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia
Búfalo-africano,Syncerus caffer,Syncerus,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia
Baleia-boreal,Balaenoptera borealis,Balaenoptera,Balaenopteridae,CetÃ¡ceos,Mammalia,Chordata,Animalia
Baleia-da-groenlândia,Balaena mysticetus,Balaena,Balaenopteridae,Cetacea,Mammalia,Chordata,Animalia
Baleia-comum,Balaenoptera physalus,Balaenoptera,Balaenopteridae,Cetacea,Mammalia,Chordata,Animalia
Baleia-cinzenta,Eschrichtius robustus,Eschrichtius,Eschrichtiidae,Cetacea,Mammalia,Chordata,Animalia
Bugio-de-mãos-ruivas-de-Spix,Alouatta discolor,Alouatta,Atelidae,Primates,Mammalia,Chordata,Animalia
Bugio-do-pantanal,Alouatta caraya,Alouatta,Atelidae,Primates,Mammalia,Chordata,Animalia
Bugio-vermelho-do-rio-Purus,Alouatta puruensis,Alouatta,Atelidae,Primates,Mammalia,Chordata,Animalia
Boto-cor-de-rosa,Inia geoffrensis,Inia,Iniidae,Cetacea,Mammalia,Chordata,Animalia
Cabra-das-pedras,Oreotragus oreotragus,Oreotragus,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia
Cabra-montesa,Capra pyrenaica,Capra,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia
Cachalote,Physeter macrocephalus,Physeter,Physeteridae,Cetacea,Mammalia,Chordata,Animalia
Camundongo,Mus musculus,Mus,Muridae,Rodentia,Mammalia,Chordata,Animalia
Carneiro-de-dall,Ovis dalli,Ovis,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia
Carneiro-selvagem,Ovis canadensis,Ovis,Bovidae,Artiodactyla,Mammalia,Chordata,Animalia
Castor-americano,Castor canadensis,Castor,Castoridae,Rodentia,Mammalia,Chordata,Animalia
Castor-da-eurásia,Castor fiber,Castor,Castoridae,Rodentia,Mammalia,Chordata,Animalia
Cervo-de-Eld,Panolia eldii,Panolia,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia
Cervo-de-topete,Elaphodus cephalophus,Elaphodus,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia
Cervo-do-pantanal,Blastocerus dichotomus,Blastocerus,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia
Cervo-malhado-de-visayan,Rusa alfredi,Rusa,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia
